controllable,environmental,output
-4.330168209982765859e+00,-1.109450805391656303e+00,2.845237943115372481e+00
-5.867411136627197266e+00,-1.643485903739929199e+00,3.088256645202636719e+01
-5.866737365722656250e+00,-2.763697624206542969e+00,3.111955642700195312e+01
-5.867116928100585938e+00,-4.197428703308105469e+00,3.334536743164062500e+01
-5.867245197296142578e+00,-4.062623023986816406e+00,3.331703948974609375e+01
-5.867270469665527344e+00,-4.379217147827148438e+00,3.317695617675781250e+01
-5.867220878601074219e+00,-5.392986297607421875e+00,3.353843688964843750e+01
-5.867218017578125000e+00,-5.720012187957763672e+00,3.526132583618164062e+01
-5.867201805114746094e+00,-6.609627723693847656e+00,3.494552612304687500e+01
-5.867174148559570312e+00,-7.557465076446533203e+00,3.740340423583984375e+01
-5.867184638977050781e+00,-8.469873428344726562e+00,3.879961013793945312e+01
-5.867164611816406250e+00,-7.689394474029541016e+00,3.852816772460937500e+01
-5.866911888122558594e+00,-6.814530849456787109e+00,3.425307464599609375e+01
-5.889832019805908203e+00,-5.660175323486328125e+00,3.543865203857421875e+01
-5.835216045379638672e+00,-6.237336635589599609e+00,3.553950119018554688e+01
-5.909922122955322266e+00,-6.077075481414794922e+00,3.724695205688476562e+01
-5.929572105407714844e+00,-4.660225391387939453e+00,3.395495986938476562e+01
-5.825985431671142578e+00,-4.170362949371337891e+00,3.244520950317382812e+01
-5.932960033416748047e+00,-3.481025218963623047e+00,3.334786605834960938e+01
-5.953799724578857422e+00,-4.650880813598632812e+00,3.445598602294921875e+01
-5.956656932830810547e+00,-4.911994457244873047e+00,3.419984436035156250e+01
-5.951050281524658203e+00,-3.844981908798217773e+00,3.471261215209960938e+01
-5.943774223327636719e+00,-2.546002149581909180e+00,3.284170532226562500e+01
-5.960712909698486328e+00,-2.595183610916137695e+00,3.314588165283203125e+01
-5.957943439483642578e+00,-1.834973335266113281e+00,3.297068786621093750e+01
-5.985085964202880859e+00,-2.076139211654663086e+00,3.369481658935546875e+01
-6.015648365020751953e+00,-2.553846597671508789e+00,3.420159149169921875e+01
-6.000186920166015625e+00,-1.288428068161010742e+00,3.319208145141601562e+01
-6.013226509094238281e+00,-1.139560103416442871e+00,3.333990478515625000e+01
-6.023858547210693359e+00,-9.894556999206542969e-01,3.347841262817382812e+01
-6.068972110748291016e+00,-1.920124650001525879e+00,3.506113815307617188e+01
-6.089440822601318359e+00,-2.333572864532470703e+00,3.554902267456054688e+01
-6.096718788146972656e+00,-1.148850917816162109e+00,3.475211715698242188e+01
-6.119744777679443359e+00,-1.224402904510498047e+00,3.514429855346679688e+01
-6.114249229431152344e+00,-5.260207056999206543e-01,3.492856597900390625e+01
-6.110818862915039062e+00,1.546960603445768356e-02,3.478562927246093750e+01
-6.142498016357421875e+00,-3.889566063880920410e-01,3.532847595214843750e+01
-6.130249023437500000e+00,1.550732702016830444e-01,3.503878784179687500e+01
-6.185632228851318359e+00,-9.170301556587219238e-01,3.593518829345703125e+01
-6.199395179748535156e+00,-1.402514100074768066e+00,3.635785675048828125e+01
-6.212024688720703125e+00,-1.419718503952026367e+00,3.652384567260742188e+01
-6.224459648132324219e+00,-1.305849313735961914e+00,3.656533050537109375e+01
-6.229672431945800781e+00,-1.671596765518188477e+00,3.700326538085937500e+01
-6.220295429229736328e+00,-2.622912406921386719e+00,3.719136047363281250e+01
-6.246637821197509766e+00,-1.808370232582092285e+00,3.734251785278320312e+01
-6.260908603668212891e+00,-3.348904848098754883e-01,3.673788833618164062e+01
-6.265497684478759766e+00,2.459924817085266113e-01,3.665364837646484375e+01
