evaluation,mape
2.000000000000000000e+00,8.399679127970242076e-01
1.000000000000000000e+01,4.546380152395382845e-01
2.000000000000000000e+01,1.835980534663746444e-01
3.000000000000000000e+01,1.643799556444540400e-01
4.000000000000000000e+01,7.187038514564386693e-02
5.000000000000000000e+01,5.142293565376131192e-02
6.000000000000000000e+01,4.445931727874349176e-02
7.000000000000000000e+01,2.236812449046128234e-02
8.000000000000000000e+01,1.562443912306694938e-02
9.000000000000000000e+01,1.089729459526535271e-02
1.000000000000000000e+02,8.028028544656423682e-03
