controllable,environmental,output
-6.496087551116943359e+00,3.529337406158447266e+00,-3.833343887329101562e+01
-6.496140003204345703e+00,3.074610233306884766e+00,-3.798794555664062500e+01
-6.496196269989013672e+00,4.967072010040283203e+00,-3.870149993896484375e+01
-6.496198177337646484e+00,2.295695304870605469e+00,-3.790406799316406250e+01
-6.496099948883056641e+00,1.914105415344238281e+00,-3.781877136230468750e+01
-6.496199607849121094e+00,9.233463287353515625e+00,-4.249684906005859375e+01
-6.496200084686279297e+00,8.708333015441894531e+00,-4.215538024902343750e+01
-6.496199607849121094e+00,7.417019367218017578e+00,-4.124404525756835938e+01
-6.496199131011962891e+00,8.102162361145019531e+00,-4.393986511230468750e+01
-6.496198654174804688e+00,6.322174549102783203e+00,-4.083996963500976562e+01
-6.496142864227294922e+00,6.923290729522705078e+00,-3.993978881835937500e+01
-6.496166706085205078e+00,5.720808029174804688e+00,-4.024987030029296875e+01
-6.496199607849121094e+00,9.700057029724121094e+00,-4.620195770263671875e+01
-6.496199607849121094e+00,6.728837013244628906e+00,-4.011666870117187500e+01
-6.496169090270996094e+00,4.187544345855712891e+00,-3.893178939819335938e+01
-6.496185779571533203e+00,7.962311267852783203e+00,-4.376388549804687500e+01
-6.496199607849121094e+00,8.405926704406738281e+00,-4.335645675659179688e+01
-6.496129989624023438e+00,7.158723354339599609e+00,-4.023021697998046875e+01
-6.496199131011962891e+00,9.423213958740234375e+00,-4.383720016479492188e+01
-6.496195316314697266e+00,3.216522216796875000e+00,-3.805649948120117188e+01
-6.496085166931152344e+00,2.773691654205322266e+00,-3.793571090698242188e+01
-6.496196746826171875e+00,4.813722133636474609e+00,-3.869993209838867188e+01
-6.496088027954101562e+00,5.324221611022949219e+00,-3.916175460815429688e+01
-6.496086597442626953e+00,3.847662687301635742e+00,-3.870044326782226562e+01
-6.496115207672119141e+00,6.016561508178710938e+00,-4.085993957519531250e+01
