X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.629726293911457760e+05,2.636366275403407053e+05,2.646920400384133682e+05,2.630439370703978348e+05,6.505824206384446472e+06,6.506143349166712724e+06,6.504803250343085267e+06,6.505451104807863012e+06,1.200000000000000000e+02,6.000000000000000000e+00,1.247478120847310912e+00
2.645503156154155731e+05,2.647053105621337891e+05,2.630793095967471600e+05,2.645784937350749969e+05,6.505022208262920380e+06,6.504914847074389458e+06,6.506412773711919785e+06,6.506592229498863220e+06,1.200000008940696716e+02,6.000000059604644775e+00,1.671317827313895776e+00
2.639213359444141388e+05,2.645836072592735291e+05,2.638573722152709961e+05,2.640015152065753937e+05,6.505058301880896091e+06,6.504761114342451096e+06,6.506084865589380264e+06,6.506442158724308014e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.878868986625717774e+00
2.645936834602355957e+05,2.646867139725685120e+05,2.631491362883448601e+05,2.632155622168183327e+05,6.505195852346658707e+06,6.504762065013252199e+06,6.506408068676233292e+06,6.505254478262305260e+06,1.200000008940696716e+02,6.000000059604644775e+00,1.282239321690160638e+00
2.639157510786056519e+05,2.637122574924230576e+05,2.642357301979064941e+05,2.647591781585216522e+05,6.505647385208249092e+06,6.504767039528056979e+06,6.505649462304949760e+06,6.506433577634334564e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.473663490968127654e+00
2.639130480556488037e+05,2.628780000000000000e+05,2.646076001553535461e+05,2.647780000000000000e+05,6.506209703393220901e+06,6.504785462174504995e+06,6.505225370652914047e+06,6.506535827393770218e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.156716383345666177e+00
2.638645017950534821e+05,2.638366832404136658e+05,2.641272801785469055e+05,2.647780000000000000e+05,6.505764232458114624e+06,6.504714000000000000e+06,6.505706414516210556e+06,6.505109809230208397e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.960300295661953296e+00
2.637777750520706177e+05,2.636579914300441742e+05,2.640744191377162933e+05,2.647780000000000000e+05,6.506290686382293701e+06,6.504714000000000000e+06,6.505636520738840103e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.470369325824180784e+00
2.637889511822462082e+05,2.640890999226570129e+05,2.640158254413604736e+05,2.647780000000000000e+05,6.505704583622455597e+06,6.504714000000000000e+06,6.505805486853361130e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.359741015324605229e+00
2.638976297943592072e+05,2.628780000000000000e+05,2.641131930439472198e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.482170294306665692e+00
2.638843803613185883e+05,2.628780000000000000e+05,2.641312580435276031e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.505862628586530685e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.872596103512940147e+00
2.638995861678123474e+05,2.639271853594779968e+05,2.641529047636985779e+05,2.647780000000000000e+05,6.506493562139511108e+06,6.504714000000000000e+06,6.506603965814352036e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.241252007313731198e+00
2.646768468289375305e+05,2.640806640176773071e+05,2.641741318969726562e+05,2.645168468503952026e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.505591886715531349e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.343532502472633450e+00
2.638863138585090637e+05,2.640724709181785583e+05,2.641853497593402863e+05,2.628780000000000000e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.505567911826014519e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.244059504313991926e+00
2.639695106356143951e+05,2.641562275974750519e+05,2.641400678961277008e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.505368106470942497e+06,6.506460173101663589e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.916321812491171173e+00
2.638213445930480957e+05,2.635181960611343384e+05,2.641063431887626648e+05,2.647780000000000000e+05,6.505365106056571007e+06,6.504714000000000000e+06,6.506614000000000000e+06,6.505131118157446384e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.730233351885778426e+00
2.636436673789024353e+05,2.637600190519094467e+05,2.641839333562850952e+05,2.647780000000000000e+05,6.505598902140498161e+06,6.504714000000000000e+06,6.506270393891572952e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.718183239348507918e+00
2.638591889529228210e+05,2.636889050750732422e+05,2.640888452260494232e+05,2.647780000000000000e+05,6.505473178957343102e+06,6.505120547568738461e+06,6.505764692588090897e+06,6.504895070771813393e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.569825932218217979e+00
2.638486444680690765e+05,2.636920733242034912e+05,2.640848658888339996e+05,2.637491360663175583e+05,6.505644740055441856e+06,6.504714000000000000e+06,6.505990324450969696e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.702270080670471142e+00
2.638305108397006989e+05,2.637677482275962830e+05,2.642006078867912292e+05,2.647780000000000000e+05,6.505625078417301178e+06,6.504714000000000000e+06,6.505835601641178131e+06,6.504714000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,3.455174578703370081e+00
