X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.644494420527821057e+05,2.639252466156422743e+05,2.629172408784707659e+05,2.640761362660264713e+05,6.506432771065794863e+06,6.505542876459092833e+06,6.506156807575306855e+06,6.505810847382894717e+06,1.009758793455501831e+02,6.000000000000000000e+00,2.752773801601772874e+00
2.644428750000000000e+05,2.636365937500000000e+05,2.634463125000000000e+05,2.637026562500000000e+05,6.505776500000000000e+06,6.506068500000000000e+06,6.506525000000000000e+06,6.505137000000000000e+06,1.000480957031250000e+02,6.000000000000000000e+00,1.156648992712165036e+00
2.644248437500000000e+05,2.637883750000000000e+05,2.632085000000000000e+05,2.636005000000000000e+05,6.506163000000000000e+06,6.505571000000000000e+06,6.505637500000000000e+06,6.506080500000000000e+06,1.002797317504882812e+02,6.000000000000000000e+00,1.012276575751613228e+00
2.644572187500000000e+05,2.639461250000000000e+05,2.628780000000000000e+05,2.642530625000000000e+05,6.506614000000000000e+06,6.505472500000000000e+06,6.506021000000000000e+06,6.505843500000000000e+06,1.007867431640625000e+02,6.000000000000000000e+00,2.832457214390001976e+00
2.628780000000000000e+05,2.647780000000000000e+05,2.647780000000000000e+05,2.641987812500000000e+05,6.504714000000000000e+06,6.504874000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,9.624276733398437500e+01,6.000000000000000000e+00,1.435754264902506794e+00
2.643217500000000000e+05,2.647780000000000000e+05,2.628780000000000000e+05,2.641964375000000000e+05,6.506147500000000000e+06,6.504714000000000000e+06,6.505958500000000000e+06,6.506614000000000000e+06,9.485005187988281250e+01,6.000000000000000000e+00,1.680191289661376208e+00
2.647780000000000000e+05,2.637499687500000000e+05,2.628780000000000000e+05,2.642086250000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,9.208086395263671875e+01,6.000000000000000000e+00,1.261839269331153535e+00
2.635925937500000000e+05,2.647758437500000000e+05,2.643875312500000000e+05,2.628780000000000000e+05,6.506453500000000000e+06,6.505008000000000000e+06,6.505212500000000000e+06,6.506272500000000000e+06,9.396812438964843750e+01,6.000000000000000000e+00,1.264911033088117032e+00
2.642817812500000000e+05,2.645305000000000000e+05,2.631110312500000000e+05,2.647780000000000000e+05,6.504730000000000000e+06,6.506514500000000000e+06,6.505766000000000000e+06,6.504845000000000000e+06,9.060543823242187500e+01,6.000000000000000000e+00,1.284542010322569316e+00
2.644756250000000000e+05,2.640575625000000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,6.506614000000000000e+06,6.505260000000000000e+06,6.505840000000000000e+06,6.505834500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.801346634092987120e+00
2.640577187500000000e+05,2.629975937500000000e+05,2.630991562500000000e+05,2.647780000000000000e+05,6.506394500000000000e+06,6.505925000000000000e+06,6.505427500000000000e+06,6.504889500000000000e+06,9.441011047363281250e+01,6.000000000000000000e+00,1.764192619197807010e+00
2.646339375000000000e+05,2.631401562500000000e+05,2.630166250000000000e+05,2.635795312500000000e+05,6.505061000000000000e+06,6.505608500000000000e+06,6.504943000000000000e+06,6.506153000000000000e+06,9.504692077636718750e+01,6.000000000000000000e+00,1.922531548428882131e-01
2.630403437500000000e+05,2.640032187500000000e+05,2.631066875000000000e+05,2.628883125000000000e+05,6.504986000000000000e+06,6.506081000000000000e+06,6.505755500000000000e+06,6.506378000000000000e+06,9.082684326171875000e+01,6.000000000000000000e+00,1.520106004370759045e+00
