X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.640409375000000000e+05,2.641269375000000000e+05,2.640251875000000000e+05,2.639937187500000000e+05,6.505975000000000000e+06,6.506262500000000000e+06,6.504776500000000000e+06,6.505404500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,4.197259354225376882e+00
2.640426250000000000e+05,2.641208125000000000e+05,2.640235625000000000e+05,2.639964062500000000e+05,6.505972000000000000e+06,6.506222500000000000e+06,6.504781000000000000e+06,6.505413500000000000e+06,9.090000152587890625e+01,6.000000000000000000e+00,4.342834599655852834e+00
2.640443750000000000e+05,2.641143437500000000e+05,2.640218750000000000e+05,2.639992500000000000e+05,6.505968000000000000e+06,6.506179000000000000e+06,6.504785500000000000e+06,6.505424000000000000e+06,9.180000305175781250e+01,6.000000000000000000e+00,4.430279987742367531e+00
2.640462187500000000e+05,2.641076875000000000e+05,2.640201562500000000e+05,2.640025312500000000e+05,6.505962500000000000e+06,6.506130500000000000e+06,6.504792000000000000e+06,6.505436500000000000e+06,9.269999694824218750e+01,6.000000000000000000e+00,4.492800399609457429e+00
2.640478437500000000e+05,2.641020937500000000e+05,2.640181562500000000e+05,2.640057187500000000e+05,6.505955500000000000e+06,6.506106000000000000e+06,6.504797500000000000e+06,6.505450000000000000e+06,9.359999847412109375e+01,6.000000000000000000e+00,4.519095868965399276e+00
2.640493750000000000e+05,2.640975000000000000e+05,2.640161250000000000e+05,2.640089375000000000e+05,6.505947000000000000e+06,6.506099500000000000e+06,6.504803000000000000e+06,6.505465500000000000e+06,9.450000000000000000e+01,6.000000000000000000e+00,4.533341649255546280e+00
2.640509375000000000e+05,2.640925625000000000e+05,2.640137812500000000e+05,2.640123125000000000e+05,6.505937000000000000e+06,6.506091500000000000e+06,6.504809000000000000e+06,6.505481500000000000e+06,9.540000152587890625e+01,6.000000000000000000e+00,4.547499135456634534e+00
2.640553750000000000e+05,2.640756562500000000e+05,2.640120312500000000e+05,2.640210000000000000e+05,6.505936000000000000e+06,6.505777500000000000e+06,6.504831500000000000e+06,6.505515000000000000e+06,9.630000305175781250e+01,6.000000000000000000e+00,4.343889910984433556e+00
2.640573750000000000e+05,2.640698437500000000e+05,2.640094687500000000e+05,2.640252187500000000e+05,6.505924500000000000e+06,6.505765000000000000e+06,6.504840500000000000e+06,6.505535500000000000e+06,9.719999694824218750e+01,6.000000000000000000e+00,4.370832063453082839e+00
2.640593750000000000e+05,2.640642500000000000e+05,2.640066562500000000e+05,2.640297187500000000e+05,6.505912500000000000e+06,6.505741500000000000e+06,6.504851000000000000e+06,6.505557500000000000e+06,9.809999847412109375e+01,6.000000000000000000e+00,4.403274870692214016e+00
