X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.637062178510667873e+05,2.645905568479803624e+05,2.633139360959862242e+05,2.640683130749114789e+05,6.506045354373409413e+06,6.505757099843724631e+06,6.506028655621046200e+06,6.504815427394914441e+06,1.200000000000000000e+02,6.000000000000000000e+00,1.594973832615503850e+00
2.630110922700464725e+05,2.629784381038248539e+05,2.644825009732246399e+05,2.638825159459114075e+05,6.504815357946172357e+06,6.506594215090513229e+06,6.506570326949596405e+06,6.506372375930786133e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.511109530413453417e+00
2.628853845391627401e+05,2.632045182480216026e+05,2.645958978145122528e+05,2.640997854022979736e+05,6.505487599439859390e+06,6.506420589919328690e+06,6.506383148951768875e+06,6.506061619116306305e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.372131120689416672e+00
2.647780000000000000e+05,2.628780000000000000e+05,2.628780000000000000e+05,2.628780000000000582e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.504874000006854534e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,1.501114748297534884e+00
2.647780000000000000e+05,2.628780000000000000e+05,2.642726290433406830e+05,2.630380000068545341e+05,6.504714000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,1.813675834121330599e+00
2.628796803359671030e+05,2.628780000000000000e+05,2.642928979783058167e+05,2.630525895698666573e+05,6.504714000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,1.824260367717485565e+00
2.638788882462978363e+05,2.628780000000000000e+05,2.644151350228786469e+05,2.639079501597881317e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.868963711744252798e+00
2.647780000000000000e+05,2.628780000000000000e+05,2.642873015611171722e+05,2.640192179231643677e+05,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.193689849642124656e+00
2.647771818904876709e+05,2.628780000000000000e+05,2.644665446667671204e+05,2.639588680772781372e+05,6.504723626504918560e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.147392728995217936e+00
2.636916791050434113e+05,2.628780000000000000e+05,2.644538276164531708e+05,2.641427145211696625e+05,6.504714000000000000e+06,6.505197674746751785e+06,6.505127915197551250e+06,6.506614000000000000e+06,1.200000008940696716e+02,6.000000059604644775e+00,2.080626928048611823e+00
