WD,WS
1.000480985619092422e+02,6.000000000000000000e+00
1.002797319759160075e+02,6.000000000000000000e+00
1.007867465417278225e+02,6.000000000000000000e+00
9.624276604305588023e+01,6.000000000000000000e+00
9.485005439653360781e+01,6.000000000000000000e+00
9.208086381344649851e+01,6.000000000000000000e+00
9.396812543166007003e+01,6.000000000000000000e+00
9.060543968166906836e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.441010860245836511e+01,6.000000000000000000e+00
9.504692240480662235e+01,6.000000000000000000e+00
9.082684579870650055e+01,6.000000000000000000e+00
9.305325090995489745e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.196610714208594572e+01,6.000000000000000000e+00
9.160874802248746107e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.417687007744724781e+01,6.000000000000000000e+00
9.484133336463919761e+01,6.000000000000000000e+00
9.456152652205847176e+01,6.000000000000000000e+00
9.270719076853058027e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.252444916959973398e+01,6.000000000000000000e+00
9.295713960831291445e+01,6.000000000000000000e+00
9.562904386545991997e+01,6.000000000000000000e+00
9.853353152761778233e+01,6.000000000000000000e+00
9.425574532136408834e+01,6.000000000000000000e+00
9.585290366544256813e+01,6.000000000000000000e+00
9.138589704888504173e+01,6.000000000000000000e+00
9.323614157611204689e+01,6.000000000000000000e+00
9.266965119624470049e+01,6.000000000000000000e+00
9.234961267004430852e+01,6.000000000000000000e+00
9.396020601769390623e+01,6.000000000000000000e+00
9.585987233696002363e+01,6.000000000000000000e+00
9.349316718141565730e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.271294446624764873e+01,6.000000000000000000e+00
9.587436772913613936e+01,6.000000000000000000e+00
9.227078376661910397e+01,6.000000000000000000e+00
9.305085122236751261e+01,6.000000000000000000e+00
9.145759394280950971e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.476852764010692454e+01,6.000000000000000000e+00
9.192281742292054503e+01,6.000000000000000000e+00
9.048689159354151457e+01,6.000000000000000000e+00
9.000000000000000000e+01,6.000000000000000000e+00
9.116790269595014706e+01,6.000000000000000000e+00
